Flow Rate (mL min-1),Residence Time (s),Hydrodynamic Residence Time (s),Bodenstein Number (1),95% Confidence Interval (1),R2 Score (1)
3.3,272.0214527408931,363.6363636363637,0.5644531249999996,0.014145987937663824,0.851011597351653
5.0,174.0465196592637,240.00000000000006,1.13330078125,0.025245641363024787,0.8973967631837845
10.0,119.287661635331,120.00000000000003,0.5342773437499996,0.01732742922779899,0.8971610246399051
20.0,80.91131832909818,60.000000000000014,0.5764648437499996,0.02160557783782258,0.9063013826225296
40.0,73.20705701880567,30.000000000000007,0.4431640624999995,0.019876656428257602,0.9015997884043732
