Time (s),E_exp_in (s-1),E_exp_out (s-1),F_exp_in (1),F_exp_out (1),E_sim_out (s-1),F_sim_out (1)
0.0500189407630387,0.19218186991740346,0.0,0.2166018043144664,0.0,0.0,0.0
0.2544144698372577,0.18806792929174002,0.0,0.2554624837593256,0.0,8.196493809634361e-64,8.37663344386888e-65
0.45880999891147667,0.17829084080739618,0.0,0.29290353108202216,0.0,1.1708749514013004e-39,1.1966080258570961e-40
0.6632055279856885,0.15063330867853958,0.0,0.32651884386175367,0.0,5.722998899746624e-29,5.848776940263541e-30
0.8676010570599075,0.12399117320955264,0.0,0.3545848519978786,0.0,6.849864455783569e-23,7.000420045186729e-24
1.0719965861341194,0.09811616575971933,0.0,0.3772837255278234,0.0,5.356111107560916e-19,5.475225900890164e-20
1.2763921152083384,0.07370920788608173,0.0,0.3948438946051778,0.0,2.6205886737572164e-16,2.6891320940115016e-17
1.4807876442825574,0.05210900826306123,0.0,0.4077022350336671,0.0,2.4012311414727507e-14,2.507677699317109e-15
1.6851831733567693,0.036838382009847244,0.0,0.4167924594809679,0.0,7.429344458651113e-13,8.088792181229901e-14
1.8895787024309882,0.02147910687257748,0.0,0.42275237647816943,0.0,1.0964468681136165e-11,1.277358349926595e-12
2.0939742315052072,0.009287078270267915,0.0,0.42589661182310307,0.0,9.555979327307345e-11,1.216389979061228e-11
2.298369760579419,0.005345534260885146,0.0,0.42739203211312454,0.0,5.649665662141583e-10,7.966821714804018e-11
2.502765289653638,0.0023021646969652813,0.0,0.42817360985046965,0.0,2.4909452314857446e-09,3.919755714955499e-10
2.707160818727857,0.0015437945986405263,0.0,0.4285666582929813,0.0,8.748525362388414e-09,1.5406243407700672e-09
2.911556347802069,0.0007846797031160666,0.0,0.42880462316140294,0.0,2.567390693283052e-08,5.058519971271323e-09
3.115951876876288,0.00021074322222628986,0.0,0.42890635315914194,0.0,6.521255982734807e-08,1.4346913700837884e-08
3.3203474059505,8.629592340098323e-05,0.0,0.42893670989580507,0.0,1.472389752609263e-07,3.605898565933605e-08
3.524742935024719,0.0,0.0,0.4289455291462653,0.0,3.01623186041559e-07,8.19316951297455e-08
3.729138464098938,0.0,0.0,0.4289455291462653,0.0,5.696612661741008e-07,1.7097501842212593e-07
3.9335339931731497,0.0,0.0,0.4289455291462653,0.0,1.0045999690127143e-06,3.318609974556416e-07
4.137929522247369,0.0,0.0,0.4289455291462653,0.0,1.6712078183792302e-06,6.053225716580874e-07
4.3423250513215805,0.0,0.0,0.4289455291462653,0.0,2.644426007740044e-06,1.0463707012481946e-06
4.5467205803957995,0.0,0.0,0.4289455291462653,0.0,4.007298616583961e-06,1.7261620881705524e-06
4.7511161094700185,0.0,0.0,0.4289455291462653,0.0,5.84844306835693e-06,2.7333968562267164e-06
4.95551163854423,0.0,0.0,0.4289455291462653,0.0,8.259334481027128e-06,4.175180184360538e-06
5.159907167618449,0.0,0.0,0.4289455291462653,0.0,1.1331526288696814e-05,6.177322360384081e-06
5.364302696692668,0.0,0.0,0.4289455291462653,0.0,1.515406178202567e-05,8.884090253662654e-06
5.56869822576688,0.0,0.0,0.4289455291462653,0.0,1.9811237911896676e-05,1.2457465718751472e-05
5.773093754841099,0.0,0.0,0.4289455291462653,0.0,2.5380813502562423e-05,1.707599234815531e-05
5.977489283915318,0.0,0.0,0.4289455291462653,0.0,3.1932443061156264e-05,2.2933279047309177e-05
6.18188481298953,0.0,0.0,0.4289455291462653,0.0,3.952665816283719e-05,3.023623944823208e-05
6.386280342063749,0.0,0.0,0.4289455291462653,0.0,4.821422977274763e-05,3.9203162053749886e-05
6.590675871137961,0.0,0.0,0.4289455291462653,0.0,5.8035876105862834e-05,5.0061685356374694e-05
6.79507140021218,0.0,0.0,0.4289455291462653,0.0,6.902227532830172e-05,6.304674439916384e-05
6.999466929286399,0.0,0.0,0.4289455291462653,0.0,8.119424945707735e-05,7.839853742876289e-05
7.203862458360611,0.0,0.0,0.4289455291462653,0.0,9.456331053878626e-05,9.636056716083642e-05
7.40825798743483,0.0,0.0,0.4289455291462653,0.0,0.00010913195824181737,0.00011717776827699978
7.612653516509042,0.0,0.0,0.4289455291462653,0.0,0.00012489468876072547,0.00014109476844277407
7.817049045583261,0.0,0.0,0.4289455291462653,0.0,0.00014183811394127295,0.00016835426460763618
8.02144457465748,0.0,0.0,0.4289455291462653,0.0,0.000159942586859627,0.00019919557760993045
8.225840103731691,0.0,0.0,0.4289455291462653,0.0,0.00017918227204319806,0.00023385338008876063
8.43023563280591,0.0,0.0,0.4289455291462653,0.0,0.0001995264417613033,0.00027255656405030464
8.63463116188013,0.0,0.0,0.4289455291462653,0.0,0.00022093984144671975,0.00031552727825739175
8.839026690954341,0.0,0.0,0.4289455291462653,0.0,0.00024338363363413275,0.0003629800994327555
9.04342222002856,0.0,0.0,0.4289455291462653,0.0,0.0002668157905358557,0.0004151213400510488
9.24781774910278,0.0,0.0,0.4289455291462653,0.0,0.00029119182942466924,0.0004721484714056874
9.452213278176991,0.0,0.0,0.4289455291462653,0.0,0.0003164653641136734,0.0005342496781901976
9.65660880725121,0.0,0.0,0.4289455291462653,0.0,0.00034258891082737875,0.0006016035517977987
9.861004336325422,0.0,0.0,0.4289455291462653,0.0,0.00036951345495352215,0.0006743788217021913
10.065399865399641,0.0,0.0,0.4289455291462653,0.0,0.0003971904392135774,0.0007527342457479655
10.26979539447386,0.0,0.0,0.4289455291462653,0.0,0.0004255702955305874,0.0008368185535877288
