"File_240520_135343 - RawData"
"Wavelength nm.","Abs."
200.00,2.128
201.00,2.055
202.00,1.945
203.00,1.695
204.00,1.491
205.00,1.274
206.00,1.104
207.00,0.972
208.00,0.866
209.00,0.781
210.00,0.713
211.00,0.661
212.00,0.628
213.00,0.608
214.00,0.593
215.00,0.591
216.00,0.600
217.00,0.612
218.00,0.621
219.00,0.628
220.00,0.639
221.00,0.652
222.00,0.664
223.00,0.677
224.00,0.686
225.00,0.692
226.00,0.696
227.00,0.697
228.00,0.694
229.00,0.687
230.00,0.677
231.00,0.662
232.00,0.643
233.00,0.621
234.00,0.597
235.00,0.571
236.00,0.545
237.00,0.516
238.00,0.488
239.00,0.459
240.00,0.431
241.00,0.404
242.00,0.378
243.00,0.353
244.00,0.328
245.00,0.304
246.00,0.283
247.00,0.262
248.00,0.243
249.00,0.225
250.00,0.208
251.00,0.192
252.00,0.177
253.00,0.164
254.00,0.152
255.00,0.142
256.00,0.133
257.00,0.125
258.00,0.118
259.00,0.113
260.00,0.107
261.00,0.103
262.00,0.100
263.00,0.096
264.00,0.092
265.00,0.088
266.00,0.086
267.00,0.082
268.00,0.080
269.00,0.078
270.00,0.072
271.00,0.067
272.00,0.062
273.00,0.057
274.00,0.053
275.00,0.048
276.00,0.043
277.00,0.038
278.00,0.033
279.00,0.028
280.00,0.023
281.00,0.019
282.00,0.014
283.00,0.011
284.00,0.008
285.00,0.005
286.00,0.003
287.00,0.000
288.00,-0.002
289.00,-0.004
290.00,-0.005
291.00,-0.007
292.00,-0.008
293.00,-0.010
294.00,-0.011
295.00,-0.012
296.00,-0.013
297.00,-0.014
298.00,-0.015
299.00,-0.015
300.00,-0.016
301.00,-0.016
302.00,-0.017
303.00,-0.017
304.00,-0.018
305.00,-0.019
306.00,-0.019
307.00,-0.020
308.00,-0.020
309.00,-0.020
310.00,-0.020
311.00,-0.020
312.00,-0.020
313.00,-0.020
314.00,-0.020
315.00,-0.020
316.00,-0.020
317.00,-0.020
318.00,-0.020
319.00,-0.020
320.00,-0.019
321.00,-0.020
322.00,-0.021
323.00,-0.021
324.00,-0.020
325.00,-0.020
326.00,-0.020
327.00,-0.020
328.00,-0.020
329.00,-0.020
330.00,-0.020
331.00,-0.020
332.00,-0.021
333.00,-0.021
334.00,-0.020
335.00,-0.020
336.00,-0.020
337.00,-0.021
338.00,-0.021
339.00,-0.021
340.00,-0.021
341.00,-0.021
342.00,-0.022
343.00,-0.021
344.00,-0.021
345.00,-0.021
346.00,-0.021
347.00,-0.021
348.00,-0.021
349.00,-0.022
350.00,-0.022
351.00,-0.022
352.00,-0.021
353.00,-0.022
354.00,-0.022
355.00,-0.022
356.00,-0.022
357.00,-0.023
358.00,-0.022
359.00,-0.023
360.00,-0.022
361.00,-0.022
362.00,-0.023
363.00,-0.023
364.00,-0.022
365.00,-0.022
366.00,-0.022
367.00,-0.021
368.00,-0.023
369.00,-0.022
370.00,-0.022
371.00,-0.021
372.00,-0.022
373.00,-0.021
374.00,-0.022
375.00,-0.017
376.00,-0.017
377.00,-0.019
378.00,-0.017
379.00,-0.018
380.00,-0.020
381.00,-0.020
382.00,-0.021
383.00,-0.018
384.00,-0.019
385.00,-0.018
386.00,-0.020
387.00,-0.018
388.00,-0.019
389.00,-0.018
390.00,-0.019
391.00,-0.018
392.00,-0.019
393.00,-0.018
394.00,-0.018
395.00,-0.018
396.00,-0.018
397.00,-0.017
398.00,-0.017
399.00,-0.017
400.00,-0.017
401.00,-0.018
402.00,-0.018
403.00,-0.018
404.00,-0.017
405.00,-0.017
406.00,-0.017
407.00,-0.016
408.00,-0.016
409.00,-0.016
410.00,-0.017
411.00,-0.016
412.00,-0.017
413.00,-0.016
414.00,-0.016
415.00,-0.016
416.00,-0.016
417.00,-0.016
418.00,-0.015
419.00,-0.015
420.00,-0.016
421.00,-0.015
422.00,-0.016
423.00,-0.015
424.00,-0.014
425.00,-0.016
426.00,-0.016
427.00,-0.016
428.00,-0.016
429.00,-0.016
430.00,-0.016
431.00,-0.016
432.00,-0.016
433.00,-0.016
434.00,-0.016
435.00,-0.016
436.00,-0.015
437.00,-0.016
438.00,-0.016
439.00,-0.016
440.00,-0.016
441.00,-0.015
442.00,-0.016
443.00,-0.015
444.00,-0.016
445.00,-0.016
446.00,-0.016
447.00,-0.015
448.00,-0.015
449.00,-0.016
450.00,-0.016
451.00,-0.016
452.00,-0.016
453.00,-0.016
454.00,-0.016
455.00,-0.015
456.00,-0.016
457.00,-0.016
458.00,-0.015
459.00,-0.015
460.00,-0.015
461.00,-0.016
462.00,-0.015
463.00,-0.015
464.00,-0.015
465.00,-0.015
466.00,-0.015
467.00,-0.015
468.00,-0.015
469.00,-0.015
470.00,-0.015
471.00,-0.016
472.00,-0.015
473.00,-0.015
474.00,-0.015
475.00,-0.015
476.00,-0.015
477.00,-0.015
478.00,-0.015
479.00,-0.015
480.00,-0.015
481.00,-0.015
482.00,-0.015
483.00,-0.015
484.00,-0.015
485.00,-0.015
486.00,-0.015
487.00,-0.015
488.00,-0.015
489.00,-0.015
490.00,-0.015
491.00,-0.015
492.00,-0.015
493.00,-0.015
494.00,-0.015
495.00,-0.015
496.00,-0.015
497.00,-0.015
498.00,-0.015
499.00,-0.015
500.00,-0.015
501.00,-0.014
502.00,-0.014
503.00,-0.015
504.00,-0.015
505.00,-0.014
506.00,-0.014
507.00,-0.014
508.00,-0.014
509.00,-0.014
510.00,-0.014
511.00,-0.014
512.00,-0.014
513.00,-0.014
514.00,-0.014
515.00,-0.014
516.00,-0.014
517.00,-0.014
518.00,-0.014
519.00,-0.014
520.00,-0.014
521.00,-0.014
522.00,-0.014
523.00,-0.014
524.00,-0.014
525.00,-0.014
526.00,-0.014
527.00,-0.014
528.00,-0.014
529.00,-0.014
530.00,-0.014
531.00,-0.014
532.00,-0.014
533.00,-0.014
534.00,-0.014
535.00,-0.014
536.00,-0.014
537.00,-0.014
538.00,-0.014
539.00,-0.014
540.00,-0.014
541.00,-0.013
542.00,-0.013
543.00,-0.013
544.00,-0.013
545.00,-0.013
546.00,-0.013
547.00,-0.013
548.00,-0.013
549.00,-0.013
550.00,-0.013
551.00,-0.013
552.00,-0.013
553.00,-0.013
554.00,-0.013
555.00,-0.013
556.00,-0.013
557.00,-0.013
558.00,-0.013
559.00,-0.013
560.00,-0.013
561.00,-0.013
562.00,-0.013
563.00,-0.013
564.00,-0.013
565.00,-0.013
566.00,-0.013
567.00,-0.013
568.00,-0.013
569.00,-0.013
570.00,-0.013
571.00,-0.013
572.00,-0.013
573.00,-0.013
574.00,-0.013
575.00,-0.013
576.00,-0.013
577.00,-0.013
578.00,-0.013
579.00,-0.013
580.00,-0.013
581.00,-0.013
582.00,-0.013
583.00,-0.013
584.00,-0.013
585.00,-0.013
586.00,-0.013
587.00,-0.013
588.00,-0.013
589.00,-0.013
590.00,-0.013
591.00,-0.013
592.00,-0.013
593.00,-0.013
594.00,-0.013
595.00,-0.013
596.00,-0.013
597.00,-0.013
598.00,-0.013
599.00,-0.013
600.00,-0.013
601.00,-0.013
602.00,-0.013
603.00,-0.013
604.00,-0.013
605.00,-0.013
606.00,-0.013
607.00,-0.013
608.00,-0.013
609.00,-0.013
610.00,-0.013
611.00,-0.013
612.00,-0.013
613.00,-0.013
614.00,-0.013
615.00,-0.013
616.00,-0.013
617.00,-0.013
618.00,-0.013
619.00,-0.013
620.00,-0.013
621.00,-0.013
622.00,-0.013
623.00,-0.013
624.00,-0.013
625.00,-0.013
626.00,-0.013
627.00,-0.013
628.00,-0.013
629.00,-0.013
630.00,-0.013
631.00,-0.013
632.00,-0.013
633.00,-0.013
634.00,-0.013
635.00,-0.013
636.00,-0.013
637.00,-0.013
638.00,-0.013
639.00,-0.013
640.00,-0.013
641.00,-0.013
642.00,-0.013
643.00,-0.013
644.00,-0.013
645.00,-0.013
646.00,-0.013
647.00,-0.013
648.00,-0.013
649.00,-0.013
650.00,-0.013
651.00,-0.013
652.00,-0.013
653.00,-0.013
654.00,-0.013
655.00,-0.013
656.00,-0.013
657.00,-0.013
658.00,-0.013
659.00,-0.013
660.00,-0.013
661.00,-0.013
662.00,-0.013
663.00,-0.013
664.00,-0.013
665.00,-0.013
666.00,-0.013
667.00,-0.013
668.00,-0.013
669.00,-0.013
670.00,-0.013
671.00,-0.013
672.00,-0.012
673.00,-0.012
674.00,-0.013
675.00,-0.013
676.00,-0.013
677.00,-0.013
678.00,-0.012
679.00,-0.012
680.00,-0.012
681.00,-0.013
682.00,-0.012
683.00,-0.013
684.00,-0.012
685.00,-0.012
686.00,-0.012
687.00,-0.012
688.00,-0.012
689.00,-0.012
690.00,-0.012
691.00,-0.012
692.00,-0.012
693.00,-0.012
694.00,-0.012
695.00,-0.012
696.00,-0.012
697.00,-0.012
698.00,-0.012
699.00,-0.012
700.00,-0.012
701.00,-0.012
702.00,-0.012
703.00,-0.012
704.00,-0.012
705.00,-0.012
706.00,-0.012
707.00,-0.012
708.00,-0.012
709.00,-0.012
710.00,-0.012
711.00,-0.012
712.00,-0.012
713.00,-0.012
714.00,-0.012
715.00,-0.012
716.00,-0.012
717.00,-0.012
718.00,-0.012
719.00,-0.012
720.00,-0.012
721.00,-0.012
722.00,-0.012
723.00,-0.012
724.00,-0.012
725.00,-0.012
726.00,-0.012
727.00,-0.012
728.00,-0.012
729.00,-0.012
730.00,-0.012
731.00,-0.012
732.00,-0.012
733.00,-0.012
734.00,-0.012
735.00,-0.012
736.00,-0.011
737.00,-0.011
738.00,-0.011
739.00,-0.011
740.00,-0.011
741.00,-0.011
742.00,-0.012
743.00,-0.012
744.00,-0.012
745.00,-0.012
746.00,-0.012
747.00,-0.011
748.00,-0.012
749.00,-0.012
750.00,-0.011
751.00,-0.011
752.00,-0.011
753.00,-0.012
754.00,-0.012
755.00,-0.011
756.00,-0.012
757.00,-0.011
758.00,-0.012
759.00,-0.012
760.00,-0.012
761.00,-0.011
762.00,-0.011
763.00,-0.012
764.00,-0.012
765.00,-0.012
766.00,-0.011
767.00,-0.011
768.00,-0.011
769.00,-0.011
770.00,-0.011
771.00,-0.011
772.00,-0.011
773.00,-0.011
774.00,-0.011
775.00,-0.011
776.00,-0.011
777.00,-0.011
778.00,-0.011
779.00,-0.011
780.00,-0.011
781.00,-0.011
782.00,-0.011
783.00,-0.011
784.00,-0.011
785.00,-0.011
786.00,-0.011
787.00,-0.011
788.00,-0.011
789.00,-0.011
790.00,-0.011
791.00,-0.011
792.00,-0.011
793.00,-0.011
794.00,-0.011
795.00,-0.011
796.00,-0.011
797.00,-0.011
798.00,-0.011
799.00,-0.011
800.00,-0.011
