"File_240520_133218 - RawData"
"Wavelength nm.","Abs."
200.00,2.198
201.00,2.185
202.00,2.019
203.00,1.736
204.00,1.506
205.00,1.299
206.00,1.127
207.00,0.991
208.00,0.884
209.00,0.798
210.00,0.729
211.00,0.677
212.00,0.644
213.00,0.622
214.00,0.609
215.00,0.606
216.00,0.615
217.00,0.627
218.00,0.636
219.00,0.645
220.00,0.656
221.00,0.670
222.00,0.684
223.00,0.697
224.00,0.707
225.00,0.714
226.00,0.718
227.00,0.720
228.00,0.717
229.00,0.710
230.00,0.699
231.00,0.685
232.00,0.665
233.00,0.643
234.00,0.619
235.00,0.593
236.00,0.565
237.00,0.536
238.00,0.507
239.00,0.477
240.00,0.450
241.00,0.422
242.00,0.396
243.00,0.371
244.00,0.346
245.00,0.323
246.00,0.301
247.00,0.281
248.00,0.263
249.00,0.245
250.00,0.229
251.00,0.214
252.00,0.201
253.00,0.190
254.00,0.180
255.00,0.171
256.00,0.164
257.00,0.157
258.00,0.152
259.00,0.148
260.00,0.144
261.00,0.142
262.00,0.140
263.00,0.137
264.00,0.134
265.00,0.131
266.00,0.129
267.00,0.126
268.00,0.125
269.00,0.122
270.00,0.117
271.00,0.111
272.00,0.106
273.00,0.100
274.00,0.095
275.00,0.089
276.00,0.083
277.00,0.077
278.00,0.070
279.00,0.064
280.00,0.058
281.00,0.052
282.00,0.047
283.00,0.042
284.00,0.037
285.00,0.033
286.00,0.029
287.00,0.025
288.00,0.022
289.00,0.019
290.00,0.016
291.00,0.013
292.00,0.011
293.00,0.009
294.00,0.007
295.00,0.005
296.00,0.003
297.00,0.001
298.00,0.000
299.00,-0.001
300.00,-0.002
301.00,-0.003
302.00,-0.004
303.00,-0.005
304.00,-0.006
305.00,-0.007
306.00,-0.007
307.00,-0.008
308.00,-0.008
309.00,-0.008
310.00,-0.008
311.00,-0.009
312.00,-0.009
313.00,-0.009
314.00,-0.009
315.00,-0.009
316.00,-0.010
317.00,-0.010
318.00,-0.011
319.00,-0.011
320.00,-0.011
321.00,-0.011
322.00,-0.011
323.00,-0.012
324.00,-0.011
325.00,-0.012
326.00,-0.012
327.00,-0.011
328.00,-0.012
329.00,-0.012
330.00,-0.013
331.00,-0.012
332.00,-0.013
333.00,-0.013
334.00,-0.013
335.00,-0.013
336.00,-0.013
337.00,-0.014
338.00,-0.014
339.00,-0.014
340.00,-0.015
341.00,-0.014
342.00,-0.015
343.00,-0.015
344.00,-0.015
345.00,-0.016
346.00,-0.016
347.00,-0.015
348.00,-0.016
349.00,-0.015
350.00,-0.016
351.00,-0.017
352.00,-0.016
353.00,-0.017
354.00,-0.017
355.00,-0.017
356.00,-0.017
357.00,-0.017
358.00,-0.017
359.00,-0.017
360.00,-0.018
361.00,-0.018
362.00,-0.017
363.00,-0.018
364.00,-0.018
365.00,-0.018
366.00,-0.018
367.00,-0.018
368.00,-0.018
369.00,-0.018
370.00,-0.017
371.00,-0.017
372.00,-0.018
373.00,-0.017
374.00,-0.018
375.00,-0.016
376.00,-0.014
377.00,-0.014
378.00,-0.016
379.00,-0.015
380.00,-0.018
381.00,-0.016
382.00,-0.018
383.00,-0.016
384.00,-0.017
385.00,-0.017
386.00,-0.016
387.00,-0.016
388.00,-0.014
389.00,-0.015
390.00,-0.016
391.00,-0.016
392.00,-0.016
393.00,-0.015
394.00,-0.016
395.00,-0.015
396.00,-0.015
397.00,-0.014
398.00,-0.014
399.00,-0.014
400.00,-0.013
401.00,-0.015
402.00,-0.014
403.00,-0.015
404.00,-0.013
405.00,-0.013
406.00,-0.014
407.00,-0.013
408.00,-0.014
409.00,-0.014
410.00,-0.015
411.00,-0.013
412.00,-0.014
413.00,-0.014
414.00,-0.014
415.00,-0.013
416.00,-0.013
417.00,-0.013
418.00,-0.012
419.00,-0.013
420.00,-0.013
421.00,-0.014
422.00,-0.013
423.00,-0.014
424.00,-0.013
425.00,-0.014
426.00,-0.014
427.00,-0.014
428.00,-0.014
429.00,-0.014
430.00,-0.014
431.00,-0.014
432.00,-0.014
433.00,-0.013
434.00,-0.014
435.00,-0.014
436.00,-0.013
437.00,-0.013
438.00,-0.013
439.00,-0.013
440.00,-0.013
441.00,-0.013
442.00,-0.013
443.00,-0.013
444.00,-0.013
445.00,-0.013
446.00,-0.013
447.00,-0.013
448.00,-0.013
449.00,-0.013
450.00,-0.014
451.00,-0.014
452.00,-0.013
453.00,-0.013
454.00,-0.013
455.00,-0.013
456.00,-0.013
457.00,-0.013
458.00,-0.013
459.00,-0.013
460.00,-0.013
461.00,-0.013
462.00,-0.013
463.00,-0.013
464.00,-0.013
465.00,-0.013
466.00,-0.013
467.00,-0.013
468.00,-0.013
469.00,-0.013
470.00,-0.013
471.00,-0.013
472.00,-0.013
473.00,-0.013
474.00,-0.013
475.00,-0.013
476.00,-0.013
477.00,-0.013
478.00,-0.013
479.00,-0.013
480.00,-0.013
481.00,-0.013
482.00,-0.013
483.00,-0.013
484.00,-0.013
485.00,-0.013
486.00,-0.013
487.00,-0.013
488.00,-0.013
489.00,-0.013
490.00,-0.013
491.00,-0.013
492.00,-0.013
493.00,-0.013
494.00,-0.013
495.00,-0.013
496.00,-0.012
497.00,-0.013
498.00,-0.013
499.00,-0.013
500.00,-0.013
501.00,-0.012
502.00,-0.012
503.00,-0.012
504.00,-0.013
505.00,-0.012
506.00,-0.013
507.00,-0.013
508.00,-0.012
509.00,-0.013
510.00,-0.012
511.00,-0.012
512.00,-0.013
513.00,-0.012
514.00,-0.012
515.00,-0.012
516.00,-0.012
517.00,-0.012
518.00,-0.012
519.00,-0.012
520.00,-0.012
521.00,-0.012
522.00,-0.012
523.00,-0.012
524.00,-0.012
525.00,-0.012
526.00,-0.012
527.00,-0.012
528.00,-0.012
529.00,-0.012
530.00,-0.012
531.00,-0.012
532.00,-0.012
533.00,-0.012
534.00,-0.012
535.00,-0.012
536.00,-0.012
537.00,-0.012
538.00,-0.011
539.00,-0.012
540.00,-0.012
541.00,-0.011
542.00,-0.012
543.00,-0.011
544.00,-0.011
545.00,-0.011
546.00,-0.011
547.00,-0.011
548.00,-0.011
549.00,-0.011
550.00,-0.011
551.00,-0.011
552.00,-0.011
553.00,-0.011
554.00,-0.011
555.00,-0.011
556.00,-0.011
557.00,-0.011
558.00,-0.011
559.00,-0.011
560.00,-0.011
561.00,-0.011
562.00,-0.011
563.00,-0.011
564.00,-0.011
565.00,-0.011
566.00,-0.011
567.00,-0.011
568.00,-0.011
569.00,-0.011
570.00,-0.011
571.00,-0.011
572.00,-0.011
573.00,-0.011
574.00,-0.011
575.00,-0.011
576.00,-0.011
577.00,-0.011
578.00,-0.011
579.00,-0.011
580.00,-0.011
581.00,-0.011
582.00,-0.011
583.00,-0.011
584.00,-0.011
585.00,-0.011
586.00,-0.011
587.00,-0.011
588.00,-0.011
589.00,-0.011
590.00,-0.011
591.00,-0.011
592.00,-0.011
593.00,-0.011
594.00,-0.011
595.00,-0.011
596.00,-0.011
597.00,-0.011
598.00,-0.011
599.00,-0.011
600.00,-0.011
601.00,-0.011
602.00,-0.011
603.00,-0.011
604.00,-0.011
605.00,-0.011
606.00,-0.011
607.00,-0.011
608.00,-0.011
609.00,-0.011
610.00,-0.011
611.00,-0.011
612.00,-0.011
613.00,-0.011
614.00,-0.011
615.00,-0.011
616.00,-0.011
617.00,-0.011
618.00,-0.011
619.00,-0.011
620.00,-0.011
621.00,-0.011
622.00,-0.011
