"File_240203_033226 - RawData"
"Wavelength nm.","Abs."
200.00,0.219
201.00,0.306
202.00,0.257
203.00,0.182
204.00,0.304
205.00,0.269
206.00,0.292
207.00,0.214
208.00,0.219
209.00,0.178
210.00,0.109
211.00,0.284
212.00,0.240
213.00,0.296
214.00,0.181
215.00,0.259
216.00,0.280
217.00,0.220
218.00,0.264
219.00,0.308
220.00,0.313
221.00,0.294
222.00,0.288
223.00,0.278
224.00,0.270
225.00,0.264
226.00,0.261
227.00,0.258
228.00,0.256
229.00,0.255
230.00,0.255
231.00,0.256
232.00,0.260
233.00,0.264
234.00,0.269
235.00,0.272
236.00,0.277
237.00,0.282
238.00,0.287
239.00,0.291
240.00,0.297
241.00,0.302
242.00,0.307
243.00,0.313
244.00,0.319
245.00,0.325
246.00,0.331
247.00,0.339
248.00,0.347
249.00,0.355
250.00,0.364
251.00,0.374
252.00,0.383
253.00,0.394
254.00,0.403
255.00,0.413
256.00,0.421
257.00,0.431
258.00,0.441
259.00,0.449
260.00,0.457
261.00,0.467
262.00,0.472
263.00,0.476
264.00,0.479
265.00,0.479
266.00,0.478
267.00,0.476
268.00,0.477
269.00,0.471
270.00,0.458
271.00,0.446
272.00,0.433
273.00,0.420
274.00,0.404
275.00,0.388
276.00,0.372
277.00,0.357
278.00,0.341
279.00,0.324
280.00,0.306
281.00,0.289
282.00,0.273
283.00,0.257
284.00,0.241
285.00,0.228
286.00,0.215
287.00,0.202
288.00,0.189
289.00,0.176
290.00,0.163
291.00,0.151
292.00,0.139
293.00,0.129
294.00,0.119
295.00,0.111
296.00,0.102
297.00,0.094
298.00,0.088
299.00,0.082
300.00,0.077
301.00,0.072
302.00,0.068
303.00,0.064
304.00,0.061
305.00,0.058
306.00,0.055
307.00,0.052
308.00,0.050
309.00,0.048
310.00,0.047
311.00,0.044
312.00,0.042
313.00,0.042
314.00,0.041
315.00,0.039
316.00,0.039
317.00,0.038
318.00,0.037
319.00,0.036
320.00,0.035
321.00,0.035
322.00,0.034
323.00,0.034
324.00,0.033
325.00,0.033
326.00,0.032
327.00,0.031
328.00,0.031
329.00,0.029
330.00,0.029
331.00,0.027
332.00,0.027
333.00,0.026
334.00,0.025
335.00,0.024
336.00,0.024
337.00,0.022
338.00,0.022
339.00,0.020
340.00,0.021
341.00,0.018
342.00,0.019
343.00,0.016
344.00,0.017
345.00,0.016
346.00,0.015
347.00,0.014
348.00,0.014
349.00,0.014
350.00,0.013
351.00,0.011
352.00,0.012
353.00,0.010
354.00,0.011
355.00,0.010
356.00,0.010
357.00,0.010
358.00,0.008
359.00,0.009
360.00,0.009
361.00,0.008
362.00,0.009
363.00,0.008
364.00,0.007
365.00,0.006
366.00,0.008
367.00,0.007
368.00,0.006
369.00,0.007
370.00,0.007
371.00,0.007
372.00,0.005
373.00,0.006
374.00,0.007
375.00,0.004
376.00,0.007
377.00,0.009
378.00,0.009
379.00,0.006
380.00,0.007
381.00,0.006
382.00,0.006
383.00,0.005
384.00,0.004
385.00,0.005
386.00,0.006
387.00,0.004
388.00,0.003
389.00,0.004
390.00,0.006
391.00,0.002
392.00,0.007
393.00,0.005
394.00,0.004
395.00,0.005
396.00,0.004
397.00,0.004
398.00,0.003
399.00,0.005
400.00,0.004
401.00,0.003
402.00,0.002
403.00,0.003
404.00,0.004
405.00,0.001
406.00,0.003
407.00,0.003
408.00,0.004
409.00,0.000
410.00,0.001
411.00,0.002
412.00,0.002
413.00,0.002
414.00,0.002
415.00,0.002
416.00,0.002
417.00,0.002
418.00,0.003
419.00,0.001
420.00,0.002
421.00,0.001
422.00,0.000
423.00,0.000
424.00,0.001
425.00,-0.000
426.00,-0.000
427.00,-0.001
428.00,-0.000
429.00,-0.000
430.00,-0.001
431.00,-0.001
432.00,-0.000
433.00,0.001
434.00,-0.001
435.00,-0.000
436.00,-0.000
437.00,-0.001
438.00,-0.001
439.00,-0.000
440.00,-0.001
441.00,-0.001
442.00,-0.001
443.00,-0.001
444.00,-0.001
445.00,-0.001
446.00,-0.001
447.00,-0.001
448.00,-0.001
449.00,-0.001
450.00,-0.001
451.00,-0.001
452.00,-0.001
453.00,-0.001
454.00,-0.001
455.00,-0.001
456.00,-0.001
457.00,-0.001
458.00,-0.001
459.00,-0.002
460.00,-0.001
461.00,-0.002
462.00,-0.001
463.00,-0.001
464.00,-0.002
465.00,-0.002
466.00,-0.001
467.00,-0.002
468.00,-0.002
469.00,-0.002
470.00,-0.002
471.00,-0.001
472.00,-0.002
473.00,-0.001
474.00,-0.001
475.00,-0.001
476.00,-0.002
477.00,-0.001
478.00,-0.001
479.00,-0.001
480.00,-0.002
481.00,-0.001
482.00,-0.002
483.00,-0.001
484.00,-0.002
485.00,-0.001
486.00,-0.001
487.00,-0.001
488.00,-0.001
489.00,-0.002
490.00,-0.002
491.00,-0.001
492.00,-0.002
493.00,-0.001
494.00,-0.002
495.00,-0.002
496.00,-0.002
497.00,-0.001
498.00,-0.001
499.00,-0.001
500.00,-0.002
501.00,-0.002
502.00,-0.002
503.00,-0.002
504.00,-0.001
505.00,-0.002
506.00,-0.001
507.00,-0.002
508.00,-0.002
509.00,-0.001
510.00,-0.002
511.00,-0.002
512.00,-0.001
513.00,-0.002
514.00,-0.001
515.00,-0.001
516.00,-0.002
517.00,-0.002
518.00,-0.001
519.00,-0.001
520.00,-0.002
