Timestamp,Time,Voltage Channel 0,Voltage Channel 1,Adjusted Voltage Channel 0,Adjusted Voltage Channel 1
2024-10-18 22:02:27.751804,"0,1953418254852295",3225,3550,0,0
2024-10-18 22:02:27.944988,"0,39852094650268555",3226,3550,-1,0
2024-10-18 22:02:28.148105,"0,601637601852417",3226,3550,-1,0
2024-10-18 22:02:28.351162,"0,804694652557373",3226,3550,-1,0
2024-10-18 22:02:28.563957,"1,0067002773284912",3226,3550,-1,0
2024-10-18 22:02:28.764063,"1,2175960540771484",3226,3550,-1,0
2024-10-18 22:02:28.967196,"1,420729160308838",3226,3550,-1,0
2024-10-18 22:02:29.170259,"1,6237919330596924",3226,3550,-1,0
2024-10-18 22:02:29.373527,"1,8270597457885742",3226,3550,-1,0
2024-10-18 22:02:29.576622,"2,0301544666290283",3226,3550,-1,0
2024-10-18 22:02:29.779781,"2,23331356048584",3226,3550,-1,0
2024-10-18 22:02:29.982864,"2,436397075653076",3226,3550,-1,0
2024-10-18 22:02:30.186449,"2,639981269836426",3226,3550,-1,0
2024-10-18 22:02:30.389946,"2,8434791564941406",3225,3550,0,0
2024-10-18 22:02:30.593452,"3,0469846725463867",3225,3550,0,0
2024-10-18 22:02:30.796526,"3,250058650970459",3225,3550,0,0
2024-10-18 22:02:30.999668,"3,4532010555267334",3225,3550,0,0
2024-10-18 22:02:31.209559,"3,6630923748016357",3225,3550,0,0
2024-10-18 22:02:31.412449,"3,8659815788269043",3226,3550,-1,0
2024-10-18 22:02:31.615538,"4,069071054458618",3226,3550,-1,0
2024-10-18 22:02:31.818801,"4,272334098815918",3225,3550,0,0
2024-10-18 22:02:32.030603,"4,484135866165161",3225,3550,0,0
2024-10-18 22:02:32.241135,"4,69466757774353",3225,3550,0,0
2024-10-18 22:02:32.444298,"4,897831201553345",3225,3550,0,0
2024-10-18 22:02:32.654814,"5,108346462249756",3225,3550,0,0
2024-10-18 22:02:32.857710,"5,311243057250977",3225,3550,0,0
2024-10-18 22:02:33.061042,"5,514575481414795",3225,3550,0,0
2024-10-18 22:02:33.268287,"5,721820116043091",3225,3550,0,0
2024-10-18 22:02:33.471213,"5,924745798110962",3225,3550,0,0
2024-10-18 22:02:33.674466,"6,1279988288879395",3225,3550,0,0
2024-10-18 22:02:33.877656,"6,331188917160034",3226,3550,-1,0
2024-10-18 22:02:34.092557,"6,546090364456177",3226,3550,-1,0
2024-10-18 22:02:34.295666,"6,749199151992798",3225,3550,0,0
2024-10-18 22:02:34.498867,"6,952399730682373",3225,3550,0,0
2024-10-18 22:02:34.715202,"7,168734788894653",3225,3550,0,0
2024-10-18 22:02:34.926836,"7,372215986251831",3226,3550,-1,0
2024-10-18 22:02:35.126083,"7,579616069793701",3226,3550,-1,0
2024-10-18 22:02:35.329224,"7,782757520675659",3226,3550,-1,0
2024-10-18 22:02:35.538976,"7,99250864982605",3226,3550,-1,0
2024-10-18 22:02:35.742003,"8,195536136627197",3226,3550,-1,0
2024-10-18 22:02:35.945257,"8,398789882659912",3225,3550,0,0
2024-10-18 22:02:36.148378,"8,601911067962646",3225,3550,0,0
2024-10-18 22:02:36.351500,"8,805032730102539",3226,3550,-1,0
2024-10-18 22:02:36.554657,"9,008189916610718",3226,3550,-1,0
2024-10-18 22:02:36.757751,"9,211283445358276",3226,3550,-1,0
2024-10-18 22:02:36.957718,"9,411251068115234",3225,3550,0,0
2024-10-18 22:02:37.167527,"9,621059894561768",3225,3550,0,0
2024-10-18 22:02:37.370651,"9,824183940887451",3225,3550,0,0
2024-10-18 22:02:37.577317,"10,030849695205688",3225,3550,0,0
2024-10-18 22:02:37.785135,"10,238667964935303",3225,3550,0,0
2024-10-18 22:02:37.988160,"10,441693305969238",3225,3550,0,0
2024-10-18 22:02:38.191388,"10,644920825958252",3225,3550,0,0
2024-10-18 22:02:38.394508,"10,84804105758667",3226,3550,-1,0
2024-10-18 22:02:38.598178,"11,051711320877075",3226,3550,-1,0
2024-10-18 22:02:38.801297,"11,254830121994019",3225,3550,0,0
2024-10-18 22:02:39.004424,"11,457956552505493",3225,3550,0,0
2024-10-18 22:02:39.209497,"11,663029432296753",3225,3550,0,0
2024-10-18 22:02:39.412633,"11,86616563796997",3225,3550,0,0
2024-10-18 22:02:39.624802,"12,078335285186768",3225,3550,0,0
2024-10-18 22:02:39.827954,"12,281486749649048",3225,3550,0,0
2024-10-18 22:02:40.031044,"12,484577178955078",3225,3550,0,0
2024-10-18 22:02:40.234057,"12,68759036064148",3225,3550,0,0
2024-10-18 22:02:40.437330,"12,890862703323364",3225,3550,0,0
2024-10-18 22:02:40.640418,"13,093951225280762",3225,3550,0,0
2024-10-18 22:02:40.843972,"13,297505140304565",3225,3550,0,0
2024-10-18 22:02:41.048127,"13,501659870147705",3225,3550,0,0
2024-10-18 22:02:41.251280,"13,704813003540039",3225,3550,0,0
2024-10-18 22:02:41.454830,"13,908363103866577",3225,3550,0,0
2024-10-18 22:02:41.657920,"14,11145281791687",3225,3550,0,0
2024-10-18 22:02:41.861043,"14,314575672149658",3225,3550,0,0
2024-10-18 22:02:42.064166,"14,517698764801025",3225,3550,0,0
2024-10-18 22:02:42.267287,"14,72081971168518",3225,3550,0,0
2024-10-18 22:02:42.470301,"14,923833847045898",3225,3550,0,0
2024-10-18 22:02:42.680283,"15,13381576538086",3225,3550,0,0
2024-10-18 22:02:42.883400,"15,336932897567749",3225,3550,0,0
2024-10-18 22:02:43.086524,"15,540057182312012",3225,3550,0,0
2024-10-18 22:02:43.289652,"15,743184328079224",3225,3550,0,0
2024-10-18 22:02:43.493257,"15,946789741516113",3225,3550,0,0
2024-10-18 22:02:43.697970,"16,151503086090088",3225,3550,0,0
2024-10-18 22:02:43.901117,"16,354649782180786",3225,3550,0,0
2024-10-18 22:02:44.104243,"16,557775497436523",3225,3550,0,0
2024-10-18 22:02:44.308215,"16,76174783706665",3225,3550,0,0
2024-10-18 22:02:44.511316,"16,96484923362732",3225,3550,0,0
2024-10-18 22:02:44.714355,"17,167887687683105",3225,3550,0,0
2024-10-18 22:02:44.917529,"17,37106227874756",3225,3550,0,0
2024-10-18 22:02:45.120650,"17,574183225631714",3225,3550,0,0
2024-10-18 22:02:45.323778,"17,777310609817505",3225,3550,0,0
2024-10-18 22:02:45.527239,"17,98077154159546",3225,3550,0,0
2024-10-18 22:02:45.731140,"18,184672832489014",3225,3550,0,0
2024-10-18 22:02:45.934258,"18,38779091835022",3225,3550,0,0
2024-10-18 22:02:46.133937,"18,587470293045044",3225,3550,0,0
2024-10-18 22:02:46.338129,"18,791662454605103",3225,3550,0,0
2024-10-18 22:02:46.541549,"18,99508237838745",3225,3550,0,0
2024-10-18 22:02:46.745220,"19,198752641677856",3225,3550,0,0
2024-10-18 22:02:46.948153,"19,40168595314026",3225,3550,0,0
2024-10-18 22:02:47.151877,"19,60541033744812",3225,3550,0,0
2024-10-18 22:02:47.354996,"19,808529376983643",3225,3550,0,0
2024-10-18 22:02:47.558125,"20,011658191680908",3225,3550,0,0
2024-10-18 22:02:47.761668,"20,215201139450073",3225,3550,0,0
2024-10-18 22:02:47.965339,"20,418871641159058",3225,3550,0,0
2024-10-18 22:02:48.169257,"20,62278985977173",3225,3550,0,0
2024-10-18 22:02:48.372452,"20,825984954833984",3225,3550,0,0
2024-10-18 22:02:48.575579,"21,02911138534546",3225,3550,0,0
2024-10-18 22:02:48.778706,"21,232238292694092",3225,3550,0,0
2024-10-18 22:02:48.981603,"21,435136079788208",3225,3550,0,0
2024-10-18 22:02:49.184745,"21,638277530670166",3225,3550,0,0
2024-10-18 22:02:49.387932,"21,84146523475647",3225,3550,0,0
2024-10-18 22:02:49.591193,"22,044726133346558",3225,3550,0,0
2024-10-18 22:02:49.794307,"22,247840404510498",3225,3550,0,0
2024-10-18 22:02:49.997449,"22,450981616973877",3225,3550,0,0
2024-10-18 22:02:50.200546,"22,654078722000122",3225,3550,0,0
2024-10-18 22:02:50.403698,"22,85723114013672",3225,3550,0,0
2024-10-18 22:02:50.610448,"23,06398034095764",3225,3550,0,0
2024-10-18 22:02:50.813574,"23,267106533050537",3225,3550,0,0
2024-10-18 22:02:51.016734,"23,470267295837402",3225,3550,0,0
2024-10-18 22:02:51.219877,"23,673410177230835",3225,3550,0,0
2024-10-18 22:02:51.422877,"23,876410245895386",3225,3550,0,0
2024-10-18 22:02:51.626123,"24,07965612411499",3225,3550,0,0
2024-10-18 22:02:51.829245,"24,282777547836304",3225,3550,0,0
2024-10-18 22:02:52.032370,"24,48590326309204",3225,3550,0,0
2024-10-18 22:02:52.235489,"24,689022064208984",3225,3550,0,0
2024-10-18 22:02:52.438615,"24,8921480178833",3225,3550,0,0
2024-10-18 22:02:52.649158,"25,10269069671631",3225,3550,0,0
2024-10-18 22:02:52.852282,"25,30581521987915",3225,3550,0,0
2024-10-18 22:02:53.061285,"25,514817476272583",3225,3550,0,0
2024-10-18 22:02:53.264407,"25,71794033050537",3225,3550,0,0
2024-10-18 22:02:53.467436,"25,920969009399414",3225,3550,0,0
2024-10-18 22:02:53.670593,"26,124125719070435",3225,3550,0,0
2024-10-18 22:02:53.873738,"26,32727074623108",3226,3550,-1,0
2024-10-18 22:02:54.077388,"26,53092098236084",3226,3550,-1,0
2024-10-18 22:02:54.280511,"26,734043836593628",3225,3550,0,0
2024-10-18 22:02:54.484120,"26,937653064727783",3225,3550,0,0
2024-10-18 22:02:54.687245,"27,140778303146362",3225,3550,0,0
2024-10-18 22:02:54.890793,"27,34432625770569",3225,3550,0,0
2024-10-18 22:02:55.090691,"27,54422426223755",3225,3550,0,0
2024-10-18 22:02:55.300556,"27,75408935546875",3225,3550,0,0
2024-10-18 22:02:55.515941,"27,96947407722473",3225,3550,0,0
2024-10-18 22:02:55.718926,"28,1724591255188",3225,3550,0,0
2024-10-18 22:02:55.922073,"28,375606060028076",3225,3550,0,0
2024-10-18 22:02:56.122058,"28,575591325759888",3225,3550,0,0
2024-10-18 22:02:56.325502,"28,77903437614441",3225,3548,0,2
2024-10-18 22:02:56.528638,"28,982171058654785",3225,3548,0,2
2024-10-18 22:02:56.733282,"29,18681502342224",3225,3548,0,2
2024-10-18 22:02:56.936435,"29,389967679977417",3225,3546,0,4
2024-10-18 22:02:57.140401,"29,593933820724487",3225,3546,0,4
2024-10-18 22:02:57.343521,"29,797053813934326",3226,3539,-1,11
2024-10-18 22:02:57.546685,"30,000218152999878",3226,3539,-1,11
2024-10-18 22:02:57.749768,"30,203300714492798",3226,3539,0,19
2024-10-18 22:02:57.952803,"30,406335830688477",3225,3531,0,19
2024-10-18 22:02:58.160642,"30,61417531967163",3225,3531,0,19
2024-10-18 22:02:58.363752,"30,81728458404541",3226,3448,-1,102
2024-10-18 22:02:58.566887,"31,020419597625732",3226,3448,-1,102
2024-10-18 22:02:58.772289,"31,225821495056152",3225,3202,0,348
2024-10-18 22:02:58.975405,"31,428937435150146",3225,3202,0,348
2024-10-18 22:02:59.185241,"31,638773441314697",3225,3202,0,348
2024-10-18 22:02:59.388354,"31,84188675880432",3226,3237,-1,313
2024-10-18 22:02:59.591528,"32,045060873031616",3226,3237,-1,313
2024-10-18 22:02:59.794636,"32,24816918373108",3226,3358,-1,192
2024-10-18 22:02:59.997763,"32,45129585266113",3226,3358,-1,192
2024-10-18 22:03:00.200674,"32,65420722961426",3226,3358,-1,192
2024-10-18 22:03:00.404005,"32,85753798484802",3225,3500,0,50
2024-10-18 22:03:00.610713,"33,06424641609192",3225,3500,0,50
2024-10-18 22:03:00.805547,"33,25908017158508",3225,3540,0,10
2024-10-18 22:03:01.009348,"33,462881088256836",3225,3540,0,10
2024-10-18 22:03:01.216769,"33,67030143737793",3225,3540,0,10
2024-10-18 22:03:01.419889,"33,873422384262085",3225,3548,0,2
2024-10-18 22:03:01.632661,"34,086193799972534",3225,3548,0,2
2024-10-18 22:03:01.835796,"34,289329290390015",3225,3550,0,0
2024-10-18 22:03:02.036551,"34,49008369445801",3225,3550,0,0
2024-10-18 22:03:02.239686,"34,69321942329407",3225,3550,0,0
2024-10-18 22:03:02.442682,"34,89621543884277",3225,3550,0,0
2024-10-18 22:03:02.645951,"35,09948444366455",3225,3550,0,0
2024-10-18 22:03:02.849788,"35,30332136154175",3225,3550,0,0
2024-10-18 22:03:03.053534,"35,50706720352173",3225,3550,0,0
2024-10-18 22:03:03.256616,"35,71014881134033",3225,3550,0,0
2024-10-18 22:03:03.459787,"35,91332030296326",3225,3550,0,0
2024-10-18 22:03:03.662903,"36,11643624305725",3225,3550,0,0
2024-10-18 22:03:03.866615,"36,32014751434326",3225,3550,0,0
2024-10-18 22:03:04.083010,"36,53654336929321",3225,3550,0,0
2024-10-18 22:03:04.287861,"36,74139380455017",3225,3550,0,0
2024-10-18 22:03:04.490997,"36,94453001022339",3225,3550,0,0
2024-10-18 22:03:04.693981,"37,14751410484314",3225,3550,0,0
2024-10-18 22:03:04.897231,"37,35076403617859",3225,3550,0,0
2024-10-18 22:03:05.101710,"37,555243253707886",3225,3550,0,0
2024-10-18 22:03:05.304790,"37,758322954177856",3225,3550,0,0
2024-10-18 22:03:05.510239,"37,96377205848694",3225,3550,0,0
2024-10-18 22:03:05.725811,"38,179343461990356",3225,3550,0,0
2024-10-18 22:03:05.928896,"38,382428884506226",3225,3550,0,0
2024-10-18 22:03:06.139168,"38,59270095825195",3225,3550,0,0
2024-10-18 22:03:06.342256,"38,795788526535034",3225,3550,0,0
2024-10-18 22:03:06.545378,"38,99891138076782",3225,3550,0,0
2024-10-18 22:03:06.749213,"39,20274591445923",3225,3550,0,0
2024-10-18 22:03:06.952149,"39,40568161010742",3225,3550,0,0
2024-10-18 22:03:07.159066,"39,61259913444519",3225,3550,0,0
2024-10-18 22:03:07.362175,"39,81570792198181",3225,3550,0,0
2024-10-18 22:03:07.565300,"40,01883316040039",3225,3550,0,0
2024-10-18 22:03:07.772687,"40,22621965408325",3225,3550,0,0
2024-10-18 22:03:07.976155,"40,42968821525574",3225,3550,0,0
2024-10-18 22:03:08.176856,"40,63038921356201",3225,3550,0,0
2024-10-18 22:03:08.380227,"40,833759784698486",3225,3550,0,0
2024-10-18 22:03:08.583814,"41,037346839904785",3225,3550,0,0
2024-10-18 22:03:08.787298,"41,24083065986633",3225,3550,0,0
2024-10-18 22:03:08.996631,"41,45016431808472",3225,3550,0,0
2024-10-18 22:03:09.199941,"41,65347385406494",3225,3550,0,0
2024-10-18 22:03:09.403078,"41,85661053657532",3225,3550,0,0
2024-10-18 22:03:09.606212,"42,0597448348999",3225,3550,0,0
2024-10-18 22:03:09.809412,"42,26294445991516",3225,3550,0,0
