Timestamp,Time,Voltage Channel 0,Voltage Channel 1,Adjusted Voltage Channel 0,Adjusted Voltage Channel 1
2024-10-18 19:41:11.095852,"0,21341180801391602",2757,3550,0,0
2024-10-18 19:41:11.299427,"0,4173893928527832",2757,3550,0,0
2024-10-18 19:41:11.504943,"0,6219086647033691",2757,3550,0,0
2024-10-18 19:41:11.708628,"0,826284646987915",2757,3550,0,0
2024-10-18 19:41:11.910538,"1,0300164222717285",2757,3550,0,0
2024-10-18 19:41:12.108220,"1,233821153640747",2757,3550,0,0
2024-10-18 19:41:12.311307,"1,4369087219238281",2757,3550,0,0
2024-10-18 19:41:12.519605,"1,641347885131836",2757,3550,0,0
2024-10-18 19:41:12.728398,"1,846466064453125",2757,3550,0,0
2024-10-18 19:41:12.937719,"2,0543408393859863",2757,3550,0,0
2024-10-18 19:41:13.142147,"2,2604753971099854",2756,3549,1,1
2024-10-18 19:41:13.339431,"2,46421217918396",2756,3549,1,1
2024-10-18 19:41:13.543100,"2,6687018871307373",2757,3549,0,1
2024-10-18 19:41:13.746234,"2,871835231781006",2757,3549,0,1
2024-10-18 19:41:13.954965,"3,0750129222869873",2757,3549,0,1
2024-10-18 19:41:14.153726,"3,279327154159546",2757,3550,0,0
2024-10-18 19:41:14.362793,"3,482372522354126",2757,3550,0,0
2024-10-18 19:41:14.568216,"3,686763286590576",2757,3550,0,0
2024-10-18 19:41:14.775740,"3,8914496898651123",2757,3550,0,0
2024-10-18 19:41:14.977000,"4,095626354217529",2757,3550,0,0
2024-10-18 19:41:15.167539,"4,2851722240448",2757,3550,0,0
2024-10-18 19:41:15.371644,"4,489500045776367",2757,3550,0,0
2024-10-18 19:41:15.575512,"4,693029165267944",2757,3550,0,0
2024-10-18 19:41:15.779136,"4,897856712341309",2757,3550,0,0
2024-10-18 19:41:15.985481,"5,103097915649414",2757,3550,0,0
2024-10-18 19:41:16.188037,"5,306430339813232",2757,3550,0,0
2024-10-18 19:41:16.392945,"5,511138439178467",2757,3550,0,0
2024-10-18 19:41:16.596225,"5,715647220611572",2757,3550,0,0
