"File_240519_215108 - RawData"
"Wavelength nm.","Abs."
200.00,2.099
201.00,2.096
202.00,1.949
203.00,1.747
204.00,1.518
205.00,1.302
206.00,1.132
207.00,0.995
208.00,0.887
209.00,0.802
210.00,0.737
211.00,0.690
212.00,0.659
213.00,0.642
214.00,0.638
215.00,0.645
216.00,0.661
217.00,0.677
218.00,0.693
219.00,0.709
220.00,0.727
221.00,0.743
222.00,0.758
223.00,0.771
224.00,0.780
225.00,0.786
226.00,0.789
227.00,0.788
228.00,0.784
229.00,0.774
230.00,0.761
231.00,0.743
232.00,0.721
233.00,0.695
234.00,0.667
235.00,0.637
236.00,0.606
237.00,0.575
238.00,0.544
239.00,0.512
240.00,0.482
241.00,0.452
242.00,0.423
243.00,0.394
244.00,0.367
245.00,0.340
246.00,0.315
247.00,0.291
248.00,0.269
249.00,0.247
250.00,0.227
251.00,0.207
252.00,0.190
253.00,0.174
254.00,0.158
255.00,0.145
256.00,0.133
257.00,0.122
258.00,0.113
259.00,0.104
260.00,0.096
261.00,0.089
262.00,0.083
263.00,0.077
264.00,0.072
265.00,0.067
266.00,0.062
267.00,0.058
268.00,0.055
269.00,0.051
270.00,0.047
271.00,0.042
272.00,0.038
273.00,0.034
274.00,0.030
275.00,0.026
276.00,0.022
277.00,0.018
278.00,0.014
279.00,0.011
280.00,0.007
281.00,0.004
282.00,0.002
283.00,0.000
284.00,-0.002
285.00,-0.003
286.00,-0.004
287.00,-0.004
288.00,-0.005
289.00,-0.006
290.00,-0.005
291.00,-0.006
292.00,-0.006
293.00,-0.006
294.00,-0.006
295.00,-0.006
296.00,-0.006
297.00,-0.006
298.00,-0.005
299.00,-0.005
300.00,-0.005
301.00,-0.005
302.00,-0.005
303.00,-0.004
304.00,-0.004
305.00,-0.005
306.00,-0.005
307.00,-0.005
308.00,-0.005
309.00,-0.005
310.00,-0.004
311.00,-0.004
312.00,-0.004
313.00,-0.004
314.00,-0.004
315.00,-0.004
316.00,-0.004
317.00,-0.003
318.00,-0.004
319.00,-0.003
320.00,-0.004
321.00,-0.004
322.00,-0.003
323.00,-0.003
324.00,-0.003
325.00,-0.003
326.00,-0.004
327.00,-0.004
328.00,-0.004
329.00,-0.003
330.00,-0.002
331.00,-0.002
332.00,-0.002
333.00,-0.003
334.00,-0.003
335.00,-0.003
336.00,-0.003
337.00,-0.003
338.00,-0.003
339.00,-0.003
340.00,-0.003
341.00,-0.003
342.00,-0.002
343.00,-0.002
344.00,-0.002
345.00,-0.002
346.00,-0.002
347.00,-0.002
348.00,-0.003
349.00,-0.003
350.00,-0.003
351.00,-0.002
352.00,-0.003
353.00,-0.003
354.00,-0.003
355.00,-0.003
356.00,-0.003
357.00,-0.003
358.00,-0.003
359.00,-0.003
360.00,-0.003
361.00,-0.003
362.00,-0.003
363.00,-0.003
364.00,-0.004
365.00,-0.003
366.00,-0.003
367.00,-0.003
368.00,-0.003
369.00,-0.003
370.00,-0.003
371.00,-0.003
372.00,-0.003
373.00,-0.003
374.00,-0.002
375.00,0.000
376.00,0.001
377.00,0.000
378.00,-0.001
379.00,-0.004
380.00,0.001
381.00,0.000
382.00,-0.002
383.00,-0.002
384.00,-0.002
385.00,-0.001
386.00,-0.002
387.00,-0.003
388.00,-0.002
389.00,-0.003
390.00,-0.002
391.00,-0.001
392.00,-0.003
393.00,-0.003
394.00,-0.001
395.00,-0.003
396.00,-0.003
397.00,-0.003
398.00,-0.003
399.00,-0.002
400.00,-0.004
401.00,-0.002
402.00,-0.002
403.00,-0.003
404.00,-0.002
405.00,-0.003
406.00,-0.003
407.00,-0.003
408.00,-0.003
409.00,-0.003
410.00,-0.004
